Age,Gender,Level of Study,Academic Program,Year of Study,Blockchain Knowledge,Understanding of IoT,SA1,SA2,SA3,SA4,SA5,PEU1,PEU2,PEU3,PEU4,PEU5,PSB1,PSB2,PSB3,PSB4,PSB5,PU1,PU2,PU3,PU4,PU5,ACC1,ACC2,ACC3,ACC4,ACC5,SA,PEU,PSB,PU,ACC
Above 30,Male,Postgraduate (Master?s),Other,4th Year or above,Yes,Good,4,3,4,3,4,4,3,4,3,4,4,4,5,4,4,4,3,4,4,4,4,4,5,3,3,3.6,3.6,4.2,3.8,3.8
22?25,Male,Undergraduate,Computer Science / IT,2nd Year,Yes,Good,5,5,4,4,5,5,5,4,4,5,5,5,5,4,5,4,4,5,5,5,5,5,5,4,5,4.6,4.6,4.8,4.6,4.8
22?25,Female,Undergraduate,Social Sciences,1st Year,No,Good,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,3,3,2,2,2,2,2,3,3,3,3,2,2.6,2.4
22?25,Female,Undergraduate,Computer Science / IT,2nd Year,Yes,Good,5,4,4,4,4,5,4,4,4,4,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,4.2,4.2,5,4.4,5
18?21,Male,Postgraduate (Master?s),Computer Science / IT,2nd Year,Yes,Fair,5,4,5,5,5,3,4,3,4,4,4,5,4,4,5,3,4,4,4,5,4,5,4,5,5,4.8,3.6,4.4,4,4.6
22?25,Female,Undergraduate,Computer Science / IT,2nd Year,No,Fair,2,1,1,1,1,2,1,1,1,1,1,3,3,3,3,1,1,1,1,3,1,3,3,3,2,1.2,1.2,2.6,1.4,2.4
26?30,Female,Undergraduate,Computer Science / IT,2nd Year,Yes,Good,3,2,2,3,3,3,2,2,3,3,2,4,2,4,3,2,3,3,2,4,2,4,2,2,3,2.6,2.6,3,2.8,2.6
22?25,Male,Undergraduate,Computer Science / IT,2nd Year,Yes,Good,3,3,2,3,3,3,3,2,3,3,3,4,2,2,4,2,3,3,3,4,3,4,2,4,2,2.8,2.8,3,3,3
22?25,Female,Undergraduate,Social Sciences,2nd Year,Yes,Very Poor,3,2,2,3,3,3,2,2,3,3,3,4,3,3,2,2,3,3,3,4,3,4,3,3,4,2.6,2.6,3,3,3.4
Above 30,Male,Undergraduate,Business Administration,2nd Year,Yes,Good,5,4,5,4,5,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,4.6,4.6,5,4.8,4.8
22?25,Male,Undergraduate,Social Sciences,3rd Year,Yes,Very Good,4,3,3,4,3,4,3,3,4,3,3,5,5,4,5,3,4,3,3,5,3,5,5,4,4,3.4,3.4,4.4,3.6,4.2
